Year,Datetime,Stage,Stadium,City,HomeTeamName,HomeTeamGoals,AwayTeamGoals,AwayTeamName,Winconditions,Attendance,HalftimeHomeGoals,HalftimeAwayGoals,Referee,Assistant1,Assistant2,RoundID,MatchID,HomeTeamInitials,AwayTeamInitials
1982,1982-06-14 17:15,Group 1,Estadio Municipal de Bala�dos,Vigo,Italy,0,0,Poland,,33000,0,0,VAUTROT MICHEL (FRA),PROKOP ADOLF (GDR),RAINEA NICOLAE (ROU),293,995,ITA,POL
1982,1982-06-14 21:00,Group 6,Ramon Sanchez Pizjuan,Seville,Brazil,2,1,Soviet Union,,68000,0,1,LAMO CASTILLO AUGUSTO (ESP),SANCHEZ ARMINIO VICTORIANO (ESP),GARCIA CARRION JOSE L. (ESP),293,791,BRA,URS
1982,1982-06-15 17:15,Group 1,Riazor,La Coru�A,Peru,0,0,Cameroon,,11000,0,0,WOEHRER FRANZ (AUT),RAINEA NICOLAE (ROU),PROKOP ADOLF (GDR),293,833,PER,CMR
1982,1982-06-15 21:00,Group 3,Nuevo Estadio,Elche,Hungary,10,1,El Salvador,,23000,3,0,AL DOY EBRAHIM (BHR),CORVER CHARLES (NED),LUND-SORENSEN HENNING (DEN),293,896,HUN,SLV
1982,1982-06-15 21:00,Group 6,La Rosaleda,Malaga,Scotland,5,2,New Zealand,,36000,3,0,SOCHA DAVID (USA),CHAN THOMSON TAM SUN (HKG),EL GHOUL YUSEF MOHAMED (LBY),293,1051,SCO,NZL
1982,1982-06-16 17:15,Group 2,El Molinon,Gijon,Germany FR,1,2,Algeria,,42000,0,0,LABO REVOREDO ENRIQUE (PER),ARISTIZABAL MURCIA GILBERTO (COL),CASARIN PAOLO (ITA),293,741,FRG,ALG
1982,1982-06-16 17:15,Group 4,San Mames,Bilbao,England,3,1,France,,44172,1,1,GARRIDO ANTONIO (POR),CASTRO GASTON (CHI),COELHO ARNALDO (BRA),293,878,ENG,FRA
1982,1982-06-16 21:00,Group 5,Luis Casanova,Valencia,Spain,1,1,Honduras,,49562,0,1,ITHURRALDE ARTURO ANDRES (ARG),DOTCHEV BOGDAN (BUL),BARRANCOS LUIS (BOL),293,901,ESP,HON
1982,1982-06-17 17:15,Group 2,Carlos Tartiere,Oviedo,Chile,0,1,Austria,,22500,0,1,CARDELLINO DE SAN VICENTE JUAN (URU),CASARIN PAOLO (ITA),ARISTIZABAL MURCIA GILBERTO (COL),293,764,CHI,AUT
1982,1982-06-17 17:45,Group 4,Jose Zorrilla,Valladolid,Czechoslovakia,1,1,Kuwait,,25000,1,0,DWOMOH BENJAMIN (GHA),MENDEZ MOLINA ROMULO (GUA),VALENTINE ROBERT (SCO),293,1012,TCH,KUW
1982,1982-06-17 21:00,Group 5,La Romareda,Zaragoza,Yugoslavia,0,0,Northern Ireland,,25000,0,0,FREDRIKSSON ERIK (SWE),GALLER BRUNO (SUI),PALOTAI KAROLY (HUN),293,1044,YUG,NIR
1982,1982-06-18 17:15,Group 1,Estadio Municipal de Bala�dos,Vigo,Italy,1,1,Peru,,25000,1,0,ESCHWEILER WALTER (GER),RUBIO VAZQUEZ MARIO (MEX),KLEIN ABRAHAM (ISR),293,994,ITA,PER
1982,1982-06-18 21:00,Group 3,Jose Rico Perez,Alicante,Argentina,4,1,Hungary,,32093,2,0,LACARNE BELAID (ALG),VAUTROT MICHEL (FRA),RAINEA NICOLAE (ROU),293,752,ARG,HUN
1982,1982-06-18 21:00,Group 6,Benito Villamarin,Seville,Brazil,4,1,Scotland,,47379,1,1,SILES JESUS PAULINO (CRC),CHAN THOMSON TAM SUN (HKG),PROKOP ADOLF (GDR),293,790,BRA,SCO
1982,1982-06-19 19:15,Group 1,Riazor,La Coru�A,Poland,0,0,Cameroon,,19000,0,0,PONNET ALEXIS (BEL),ESCHWEILER WALTER (GER),RUBIO VAZQUEZ MARIO (MEX),293,834,POL,CMR
1982,1982-06-19 21:00,Group 3,Nuevo Estadio,Elche,Belgium,1,0,El Salvador,,15000,1,0,MOFFATT MALCOLM (NIR),CASTRO GASTON (CHI),JARGUZ ALOJZY (POL),293,774,BEL,SLV
1982,1982-06-19 21:00,Group 6,La Rosaleda,Malaga,Soviet Union,3,0,New Zealand,,19000,1,0,EL GHOUL YUSEF MOHAMED (LBY),SORIANO ALADREN EMILIO (ESP),WHITE CLIVE (ENG),293,1054,URS,NZL
1982,1982-06-20 17:15,Group 2,El Molinon,Gijon,Germany FR,4,1,Chile,,42000,1,0,GALLER BRUNO (SUI),CHRISTOV VOJTECH (TCH),BOSKOVIC TONY (AUS),293,813,FRG,CHI
1982,1982-06-20 17:15,Group 4,San Mames,Bilbao,England,2,0,Czechoslovakia,,41123,0,0,CORVER CHARLES (NED),DOTCHEV BOGDAN (BUL),ARISTIZABAL MURCIA GILBERTO (COL),293,889,ENG,TCH
1982,1982-06-20 21:00,Group 5,Luis Casanova,Valencia,Spain,2,1,Yugoslavia,,48000,1,1,LUND-SORENSEN HENNING (DEN),GARRIDO ANTONIO (POR),ITHURRALDE ARTURO ANDRES (ARG),293,903,ESP,YUG
1982,1982-06-21 17:15,Group 2,Carlos Tartiere,Oviedo,Algeria,0,2,Austria,,22000,0,0,BOSKOVIC TONY (AUS),CHRISTOV VOJTECH (TCH),AL DOY EBRAHIM (BHR),293,739,ALG,AUT
1982,1982-06-21 17:15,Group 4,Jose Zorrilla,Valladolid,France,4,1,Kuwait,,30043,2,0,STUPAR MIROSLAV (URS),FREDRIKSSON ERIK (SWE),MATOVINOVIC DAMIR (CRO),293,919,FRA,KUW
1982,1982-06-21 21:00,Group 5,La Romareda,Zaragoza,Honduras,1,1,Northern Ireland,,15000,0,1,CHAN THOMSON TAM SUN (HKG),LABO REVOREDO ENRIQUE (PER),CASARIN PAOLO (ITA),293,959,HON,NIR
1982,1982-06-22 17:15,Group 1,Riazor,La Coru�A,Poland,5,1,Peru,,25000,0,0,RUBIO VAZQUEZ MARIO (MEX),SORIANO ALADREN EMILIO (ESP),SANCHEZ ARMINIO VICTORIANO (ESP),293,1055,POL,PER
1982,1982-06-22 21:00,Group 3,Nuevo Estadio,Elche,Belgium,1,1,Hungary,,37000,0,1,WHITE CLIVE (ENG),ESCHWEILER WALTER (GER),LACARNE BELAID (ALG),293,779,BEL,HUN
1982,1982-06-22 21:00,Group 6,La Rosaleda,Malaga,Soviet Union,2,2,Scotland,,45000,0,1,RAINEA NICOLAE (ROU),JARGUZ ALOJZY (POL),PONNET ALEXIS (BEL),293,1071,URS,SCO
1982,1982-06-23 17:15,Group 1,Estadio Municipal de Bala�dos,Vigo,Italy,1,1,Cameroon,,20000,0,0,DOTCHEV BOGDAN (BUL),SORIANO ALADREN EMILIO (ESP),SANCHEZ ARMINIO VICTORIANO (ESP),293,828,ITA,CMR
1982,1982-06-23 21:00,Group 3,Jose Rico Perez,Alicante,Argentina,2,0,El Salvador,,32500,1,0,BARRANCOS LUIS (BOL),LAMO CASTILLO AUGUSTO (ESP),LACARNE BELAID (ALG),293,751,ARG,SLV
1982,1982-06-23 21:00,Group 6,Benito Villamarin,Seville,Brazil,4,0,New Zealand,,43000,2,0,MATOVINOVIC DAMIR (CRO),KLEIN ABRAHAM (ISR),CORVER CHARLES (NED),293,789,BRA,NZL
1982,1982-06-24 17:15,Group 2,Carlos Tartiere,Oviedo,Algeria,3,2,Chile,,16000,3,0,MENDEZ MOLINA ROMULO (GUA),FREDRIKSSON ERIK (SWE),COELHO ARNALDO (BRA),293,740,ALG,CHI
1982,1982-06-24 17:15,Group 4,Jose Zorrilla,Valladolid,France,1,1,Czechoslovakia,,28000,0,0,CASARIN PAOLO (ITA),DWOMOH BENJAMIN (GHA),PALOTAI KAROLY (HUN),293,922,FRA,TCH
1982,1982-06-24 21:00,Group 5,La Romareda,Zaragoza,Honduras,0,1,Yugoslavia,,25000,0,0,CASTRO GASTON (CHI),SILES JESUS PAULINO (CRC),ITHURRALDE ARTURO ANDRES (ARG),293,962,HON,YUG
1982,1982-06-25 17:15,Group 2,El Molinon,Gijon,Germany FR,1,0,Austria,,41000,1,0,VALENTINE ROBERT (SCO),AL DOY EBRAHIM (BHR),COELHO ARNALDO (BRA),293,770,FRG,AUT
1982,1982-06-25 17:15,Group 4,San Mames,Bilbao,England,1,0,Kuwait,,39700,1,0,ARISTIZABAL MURCIA GILBERTO (COL),LUND-SORENSEN HENNING (DEN),GARCIA CARRION JOSE L. (ESP),293,882,ENG,KUW
1982,1982-06-25 21:00,Group 5,Luis Casanova,Valencia,Northern Ireland,1,0,Spain,,49562,0,0,ORTIZ HECTOR (PAR),LABO REVOREDO ENRIQUE (PER),PONNET ALEXIS (BEL),293,902,NIR,ESP
1982,1982-06-28 17:15,Group 4,Vicente Calderon,Madrid,Austria,0,1,France,,37000,0,1,PALOTAI KAROLY (HUN),CHRISTOV VOJTECH (TCH),MATOVINOVIC DAMIR (CRO),294,767,AUT,FRA
1982,1982-06-28 21:00,Group 1,Camp Nou,Barcelona,Poland,3,0,Belgium,,65000,2,0,SILES JESUS PAULINO (CRC),LABO REVOREDO ENRIQUE (PER),CASTRO GASTON (CHI),294,782,POL,BEL
1982,1982-06-29 17:15,Group 3,Sarria,Barcelona,Italy,2,1,Argentina,,43000,0,0,RAINEA NICOLAE (ROU),GALLER BRUNO (SUI),LACARNE BELAID (ALG),294,753,ITA,ARG
1982,1982-06-29 21:00,Group 2,Santiago Bernabeu,Madrid,Germany FR,0,0,England,,75000,0,0,COELHO ARNALDO (BRA),ORTIZ HECTOR (PAR),MENDEZ MOLINA ROMULO (GUA),294,879,FRG,ENG
1982,1982-07-01 17:15,Group 4,Vicente Calderon,Madrid,Austria,2,2,Northern Ireland,,20000,0,1,PROKOP ADOLF (GDR),FREDRIKSSON ERIK (SWE),ESCHWEILER WALTER (GER),294,771,AUT,NIR
1982,1982-07-01 21:00,Group 1,Camp Nou,Barcelona,Belgium,0,1,Soviet Union,,45000,0,0,VAUTROT MICHEL (FRA),CORVER CHARLES (NED),GARRIDO ANTONIO (POR),294,783,BEL,URS
1982,1982-07-02 17:15,Group 3,Sarria,Barcelona,Argentina,1,3,Brazil,,44000,0,1,RUBIO VAZQUEZ MARIO (MEX),ARISTIZABAL MURCIA GILBERTO (COL),CASTRO GASTON (CHI),294,750,ARG,BRA
1982,1982-07-02 21:00,Group 2,Santiago Bernabeu,Madrid,Germany FR,2,1,Spain,,90089,0,0,CASARIN PAOLO (ITA),WOEHRER FRANZ (AUT),PALOTAI KAROLY (HUN),294,900,FRG,ESP
1982,1982-07-04 17:15,Group 4,Vicente Calderon,Madrid,France,4,1,Northern Ireland,,37000,1,0,JARGUZ ALOJZY (POL),RAINEA NICOLAE (ROU),EL GHOUL YUSEF MOHAMED (LBY),294,920,FRA,NIR
1982,1982-07-04 21:00,Group 1,Camp Nou,Barcelona,Poland,0,0,Soviet Union,,65000,0,0,VALENTINE ROBERT (SCO),LUND-SORENSEN HENNING (DEN),WHITE CLIVE (ENG),294,1058,POL,URS
1982,1982-07-05 17:15,Group 3,Sarria,Barcelona,Italy,3,2,Brazil,,44000,2,1,KLEIN ABRAHAM (ISR),CHAN THOMSON TAM SUN (HKG),DOTCHEV BOGDAN (BUL),294,788,ITA,BRA
1982,1982-07-05 21:00,Group 2,Santiago Bernabeu,Madrid,Spain,0,0,England,,75000,0,0,PONNET ALEXIS (BEL),VAUTROT MICHEL (FRA),LACARNE BELAID (ALG),294,877,ESP,ENG
1982,1982-07-08 17:15,Semi-finals,Camp Nou,Barcelona,Poland,0,2,Italy,,50000,0,1,CARDELLINO DE SAN VICENTE JUAN (URU),SOCHA DAVID (USA),ARISTIZABAL MURCIA GILBERTO (COL),295,996,POL,ITA
1982,1982-07-08 21:00,Semi-finals,Ramon Sanchez Pizjuan,Seville,Germany FR,3,3,France,win on penalties (5 - 4),70000,0,0,CORVER CHARLES (NED),GALLER BRUNO (SUI),VALENTINE ROBERT (SCO),295,914,FRG,FRA
1982,1982-07-10 20:00,Match for third place,Jose Rico Perez,Alicante,Poland,3,2,France,,28000,2,1,GARRIDO ANTONIO (POR),RUBIO VAZQUEZ MARIO (MEX),LACARNE BELAID (ALG),676,921,POL,FRA
1982,1982-07-11 20:00,Final,Santiago Bernabeu,Madrid,Italy,3,1,Germany FR,,90000,0,0,COELHO ARNALDO (BRA),KLEIN ABRAHAM (ISR),CHRISTOV VOJTECH (TCH),3475,923,ITA,FRG
1986,1986-05-31 12:00,Group A,Estadio Azteca,Mexico City,Bulgaria,1,1,Italy,,96000,0,1,FREDRIKSSON ERIK (SWE),CODESAL MENDEZ EDGARDO (MEX),ROTH VOLKER (GER),308,459,BUL,ITA
1986,1986-06-01 16:00,Group C,Nou Camp - Estadio Le�n,Leon,Canada,0,1,France,,65500,0,0,SILVA ARCE HERNAN (CHI),MENDEZ MOLINA ROMULO (GUA),ULLOA MORERA BERNY (CRC),308,468,CAN,FRA
1986,1986-06-01 12:00,Group D,Jalisco,Guadalajara,Spain,0,1,Brazil,,35748,0,0,BAMBRIDGE CHRISTOPHER (AUS),SOCHA DAVID (USA),KEIZER JAN (NED),308,439,ESP,BRA
1986,1986-06-02 12:00,Group C,Estadio Irapuato,Irapuato,Soviet Union,6,0,Hungary,,16500,3,0,AGNOLIN LUIGI (ITA),COURTNEY GEORGE (ENG),BRUMMEIER HORST (AUT),308,610,URS,HUN
1986,1986-06-02 12:00,Group A,Estadio Ol�mpico Universitario,Mexico City,Argentina,3,1,Korea Republic,,60000,2,0,SANCHEZ ARMINIO VICTORIANO (ESP),GONZALEZ ROA GABRIEL (PAR),DIAZ PALACIO JESUS (COL),308,395,ARG,KOR
1986,1986-06-02 16:00,Group F,Estadio Universitario,Monterrey,Morocco,0,0,Poland,,19900,0,0,MARTINEZ BAZAN JOSE LUIS (URU),QUINIOU JOEL (FRA),TRAORE IDRISSA (MLI),308,674,MAR,POL
1986,1986-06-03 12:00,Group D,Tres de Marzo,Guadalajara,Algeria,1,1,Northern Ireland,,22000,0,1,BUTENKO VALERI (RUS),DAINA ANDRE (SUI),PETROVIC ZORAN (SRB),308,379,ALG,NIR
1986,1986-06-03 12:00,Group B,Estadio Azteca,Mexico City,Belgium,1,2,Mexico,,110000,1,2,ESPOSITO CARLOS (ARG),SILVA VALENTE CARLOS ALBERTO (POR),MENDEZ MOLINA ROMULO (GUA),308,428,BEL,MEX
1986,1986-06-03 16:00,Group F,Tecnologico,Monterrey,Portugal,1,0,England,,23000,0,0,ROTH VOLKER (GER),DOTCHEV BOGDAN (BUL),AL SHARIF JAMAL (SYR),308,538,POR,ENG
1986,1986-06-04 12:00,Group B,Bombonera - Estadio Nemesio Diez,Toluca,Paraguay,1,0,Iraq,,24000,1,0,PICON-ACKONG EDWIN (MRI),ULLOA MORERA BERNY (CRC),SOCHA DAVID (USA),308,628,PAR,IRQ
1986,1986-06-04 16:00,Group E,Neza,Nezahualcoyotl,Scotland,0,1,Denmark,,18000,0,0,NEMETH LAJOS (HUN),KIRSCHEN SIEGFRIED (GER),AL SHANAR FALLAJ KHUZAM (KSA),308,517,SCO,DEN
1986,1986-06-04 12:00,Group E,Estadio Corregidora,Queretaro,Uruguay,1,1,Germany FR,,30500,1,0,CHRISTOV VOJTECH (TCH),SILVA ARCE HERNAN (CHI),SILVA VALENTE CARLOS ALBERTO (POR),308,585,URU,FRG
1986,1986-06-05 12:00,Group A,Cuauhtemoc,Puebla,Italy,1,1,Argentina,,32000,1,1,KEIZER JAN (NED),MARQUEZ RAMIREZ ANTONIO (MEX),SNODDY ALAN (NIR),308,394,ITA,ARG
1986,1986-06-05 12:00,Group C,Nou Camp - Estadio Le�n,Leon,France,1,1,Soviet Union,,36540,0,0,ARPPI FILHO ROMUALDO (BRA),SANCHEZ ARMINIO VICTORIANO (ESP),TAKADA SHIZUO (JPN),308,571,FRA,URS
1986,1986-06-05 16:00,Group A,Estadio Ol�mpico Universitario,Mexico City,Korea Republic,1,1,Bulgaria,,45000,0,1,AL SHANAR FALLAJ KHUZAM (KSA),IGNA IOAN (ROU),BUTENKO VALERI (RUS),308,460,KOR,BUL
1986,1986-06-06 12:00,Group C,Estadio Irapuato,Irapuato,Hungary,2,0,Canada,,13800,1,0,AL SHARIF JAMAL (SYR),PETROVIC ZORAN (SRB),BAMBRIDGE CHRISTOPHER (AUS),308,475,HUN,CAN
1986,1986-06-06 12:00,Group D,Jalisco,Guadalajara,Brazil,1,0,Algeria,,48000,0,0,MENDEZ MOLINA ROMULO (GUA),MARTINEZ BAZAN JOSE LUIS (URU),QUINIOU JOEL (FRA),308,377,BRA,ALG
1986,1986-06-06 16:00,Group F,Tecnologico,Monterrey,England,0,0,Morocco,,20200,0,0,GONZALEZ ROA GABRIEL (PAR),ESPOSITO CARLOS (ARG),KIRSCHEN SIEGFRIED (GER),308,533,ENG,MAR
1986,1986-06-07 12:00,Group D,Tres de Marzo,Guadalajara,Northern Ireland,1,2,Spain,,28000,0,2,BRUMMEIER HORST (AUT),AGNOLIN LUIGI (ITA),NEMETH LAJOS (HUN),308,551,NIR,ESP
1986,1986-06-07 12:00,Group B,Estadio Azteca,Mexico City,Mexico,1,1,Paraguay,,114600,1,0,COURTNEY GEORGE (ENG),FREDRIKSSON ERIK (SWE),IGNA IOAN (ROU),308,680,MEX,PAR
1986,1986-06-07 16:00,Group F,Estadio Universitario,Monterrey,Poland,1,0,Portugal,,19915,0,0,BENNACEUR ALI (TUN),PICON-ACKONG EDWIN (MRI),TAKADA SHIZUO (JPN),308,701,POL,POR
1986,1986-06-08 12:00,Group B,Bombonera - Estadio Nemesio Diez,Toluca,Iraq,1,2,Belgium,,20000,0,2,DIAZ PALACIO JESUS (COL),CHRISTOV VOJTECH (TCH),SANCHEZ ARMINIO VICTORIANO (ESP),308,427,IRQ,BEL
1986,1986-06-08 16:00,Group E,Neza,Nezahualcoyotl,Denmark,6,1,Uruguay,,26500,2,1,MARQUEZ RAMIREZ ANTONIO (MEX),KEIZER JAN (NED),ARPPI FILHO ROMUALDO (BRA),308,522,DEN,URU
1986,1986-06-08 12:00,Group E,Estadio Corregidora,Queretaro,Germany FR,2,1,Scotland,,30000,1,1,IGNA IOAN (ROU),DOTCHEV BOGDAN (BUL),SNODDY ALAN (NIR),308,580,FRG,SCO
1986,1986-06-09 12:00,Group C,Nou Camp - Estadio Le�n,Leon,Hungary,0,3,France,,31420,0,1,SILVA VALENTE CARLOS ALBERTO (POR),PONNET ALEXIS (BEL),DAINA ANDRE (SUI),308,567,HUN,FRA
1986,1986-06-09 12:00,Group C,Estadio Irapuato,Irapuato,Soviet Union,2,0,Canada,,14200,0,0,TRAORE IDRISSA (MLI),AL SHANAR FALLAJ KHUZAM (KSA),GONZALEZ ROA GABRIEL (PAR),308,476,URS,CAN
1986,1986-06-10 12:00,Group A,Cuauhtemoc,Puebla,Korea Republic,2,3,Italy,,20000,0,1,SOCHA DAVID (USA),URREA JOAQUIN (MEX),AL SHARIF JAMAL (SYR),308,643,KOR,ITA
1986,1986-06-10 12:00,Group A,Estadio Ol�mpico Universitario,Mexico City,Argentina,2,0,Bulgaria,,65000,1,0,ULLOA MORERA BERNY (CRC),ARPPI FILHO ROMUALDO (BRA),MARTINEZ BAZAN JOSE LUIS (URU),308,389,ARG,BUL
1986,1986-06-11 12:00,Group B,Bombonera - Estadio Nemesio Diez,Toluca,Paraguay,2,2,Belgium,,16000,0,1,DOTCHEV BOGDAN (BUL),BENNACEUR ALI (TUN),SILVA ARCE HERNAN (CHI),308,429,PAR,BEL
1986,1986-06-11 12:00,Group B,Estadio Azteca,Mexico City,Iraq,0,1,Mexico,,103763,0,0,PETROVIC ZORAN (SRB),NEMETH LAJOS (HUN),AGNOLIN LUIGI (ITA),308,627,IRQ,MEX
1986,1986-06-11 16:00,Group F,Tres de Marzo,Guadalajara,Portugal,1,3,Morocco,,28000,0,2,SNODDY ALAN (NIR),BUTENKO VALERI (RUS),ROTH VOLKER (GER),308,675,POR,MAR
1986,1986-06-11 16:00,Group F,Tecnologico,Monterrey,England,3,0,Poland,,22700,3,0,DAINA ANDRE (SUI),BRUMMEIER HORST (AUT),CHRISTOV VOJTECH (TCH),308,537,ENG,POL
1986,1986-06-12 12:00,Group D,Jalisco,Guadalajara,Northern Ireland,0,3,Brazil,,51000,0,2,KIRSCHEN SIEGFRIED (GER),TRAORE IDRISSA (MLI),COURTNEY GEORGE (ENG),308,441,NIR,BRA
1986,1986-06-12 12:00,Group D,Tecnologico,Monterrey,Algeria,0,3,Spain,,23980,0,1,TAKADA SHIZUO (JPN),PICON-ACKONG EDWIN (MRI),ESPOSITO CARLOS (ARG),308,378,ALG,ESP
1986,1986-06-13 12:00,Group E,Neza,Nezahualcoyotl,Scotland,0,0,Uruguay,,20000,0,0,QUINIOU JOEL (FRA),DIAZ PALACIO JESUS (COL),BENNACEUR ALI (TUN),308,712,SCO,URU
1986,1986-06-13 12:00,Group E,Estadio Corregidora,Queretaro,Denmark,2,0,Germany FR,,36000,1,0,PONNET ALEXIS (BEL),BAMBRIDGE CHRISTOPHER (AUS),FREDRIKSSON ERIK (SWE),308,512,DEN,FRG
1986,1986-06-15 16:00,Round of 16,Nou Camp - Estadio Le�n,Leon,Soviet Union,3,4,Belgium,Belgium win after extra time,32277,0,0,FREDRIKSSON ERIK (SWE),SANCHEZ ARMINIO VICTORIANO (ESP),SOCHA DAVID (USA),309,432,URS,BEL
1986,1986-06-15 12:00,Round of 16,Estadio Azteca,Mexico City,Mexico,2,0,Bulgaria,,114580,1,0,ARPPI FILHO ROMUALDO (BRA),MENDEZ MOLINA ROMULO (GUA),IGNA IOAN (ROU),309,463,MEX,BUL
1986,1986-06-16 16:00,Round of 16,Cuauhtemoc,Puebla,Argentina,1,0,Uruguay,,26000,1,0,AGNOLIN LUIGI (ITA),COURTNEY GEORGE (ENG),SILVA VALENTE CARLOS ALBERTO (POR),309,398,ARG,URU
1986,1986-06-16 12:00,Round of 16,Jalisco,Guadalajara,Brazil,4,0,Poland,,45000,1,0,ROTH VOLKER (GER),MARQUEZ RAMIREZ ANTONIO (MEX),SNODDY ALAN (NIR),309,444,BRA,POL
1986,1986-06-17 12:00,Round of 16,Estadio Ol�mpico Universitario,Mexico City,Italy,0,2,France,,70000,0,1,ESPOSITO CARLOS (ARG),MARTINEZ BAZAN JOSE LUIS (URU),DIAZ PALACIO JESUS (COL),309,568,ITA,FRA
1986,1986-06-17 16:00,Round of 16,Estadio Universitario,Monterrey,Morocco,0,1,Germany FR,,19800,0,0,PETROVIC ZORAN (SRB),NEMETH LAJOS (HUN),BRUMMEIER HORST (AUT),309,574,MAR,FRG
1986,1986-06-18 12:00,Round of 16,Estadio Azteca,Mexico City,England,3,0,Paraguay,,98728,1,0,AL SHARIF JAMAL (SYR),PONNET ALEXIS (BEL),AL SHANAR FALLAJ KHUZAM (KSA),309,536,ENG,PAR
1986,1986-06-18 16:00,Round of 16,Estadio Corregidora,Queretaro,Denmark,1,5,Spain,,38500,1,1,KEIZER JAN (NED),BENNACEUR ALI (TUN),DOTCHEV BOGDAN (BUL),309,511,DEN,ESP
1986,1986-06-21 12:00,Quarter-finals,Jalisco,Guadalajara,Brazil,1,1,France,France win on penalties (3 - 4),65000,0,0,IGNA IOAN (ROU),NEMETH LAJOS (HUN),CHRISTOV VOJTECH (TCH),714,440,BRA,FRA
1986,1986-06-21 16:00,Quarter-finals,Estadio Universitario,Monterrey,Germany FR,0,0,Mexico,Germany FR win on penalties (4 - 1),41700,0,0,DIAZ PALACIO JESUS (COL),BAMBRIDGE CHRISTOPHER (AUS),SNODDY ALAN (NIR),714,575,FRG,MEX
1986,1986-06-22 16:00,Quarter-finals,Cuauhtemoc,Puebla,Spain,1,1,Belgium,Belgium win on penalties (4 - 5),45000,0,0,KIRSCHEN SIEGFRIED (GER),CODESAL MENDEZ EDGARDO (MEX),BRUMMEIER HORST (AUT),714,421,ESP,BEL
1986,1986-06-22 12:00,Quarter-finals,Estadio Azteca,Mexico City,Argentina,2,1,England,,114580,0,0,BENNACEUR ALI (TUN),ULLOA MORERA BERNY (CRC),DOTCHEV BOGDAN (BUL),714,392,ARG,ENG
1986,1986-06-25 12:00,Semi-finals,Jalisco,Guadalajara,France,0,2,Germany FR,,45000,0,1,AGNOLIN LUIGI (ITA),PETROVIC ZORAN (SRB),NEMETH LAJOS (HUN),3469,564,FRA,FRG
1986,1986-06-25 16:00,Semi-finals,Estadio Azteca,Mexico City,Argentina,2,0,Belgium,,114500,0,0,MARQUEZ RAMIREZ ANTONIO (MEX),MENDEZ MOLINA ROMULO (GUA),SILVA VALENTE CARLOS ALBERTO (POR),3469,388,ARG,BEL
1986,1986-06-28 12:00,Match for third place,Cuauhtemoc,Puebla,France,4,2,Belgium,France win after extra time,21000,0,0,COURTNEY GEORGE (ENG),SILVA ARCE HERNAN (CHI),AL SHARIF JAMAL (SYR),3468,422,FRA,BEL
1986,1986-06-29 12:00,Final,Estadio Azteca,Mexico City,Argentina,3,2,Germany FR,,114600,1,0,ARPPI FILHO ROMUALDO (BRA),FREDRIKSSON ERIK (SWE),ULLOA MORERA BERNY (CRC),3467,393,ARG,FRG
1990,1990-06-08 18:00,Group B,Giuseppe Meazza,Milan,Argentina,0,1,Cameroon,,73780,0,0,VAUTROT MICHEL (FRA),MAURO VINCENT (USA),LISTKIEWICZ MICHAL (POL),322,26,ARG,CMR
1990,1990-06-09 17:00,Group B,Stadio San Nicola,Bari,Soviet Union,0,2,Romania,,42907,0,1,CARDELLINO DE SAN VICENTE JUAN (URU),SORIANO ALADREN EMILIO (ESP),SILVA ARCE HERNAN (CHI),322,342,URS,ROU
1990,1990-06-09 17:00,Group D,Renato Dall Ara,Bologna,"rn"">United Arab Emirates",0,2,Colombia,,30791,0,0,COURTNEY GEORGE (ENG),TAKADA SHIZUO (JPN),SNODDY ALAN (NIR),322,119,UAE,COL
1990,1990-06-09 21:00,Group A,Stadio Olimpico,Rome,Italy,1,0,Austria,,73303,0,0,RAMIZ WRIGHT JOSE (BRA),PEREZ HOYOS ARMANDO (COL),SILVA VALENTE CARLOS ALBERTO (POR),322,42,ITA,AUT
1990,1990-06-10 17:00,Group A,Comunale,Florence,USA,1,5,Czechoslovakia,,33266,0,2,ROETHLISBERGER KURT (SUI),VAN LANGENHOVE MARCEL (BEL),SCHMIDHUBER ARON (GER),322,355,USA,TCH
1990,1990-06-10 21:00,Group C,Stadio delle Alpi,Turin,Brazil,2,1,Sweden,,62628,1,0,LANESE TULLIO (ITA),VAUTROT MICHEL (FRA),JOUINI NEJI (TUN),322,75,BRA,SWE
1990,1990-06-10 21:00,Group D,Giuseppe Meazza,Milan,Germany FR,4,1,Yugoslavia,,74765,2,0,MIKKELSEN PETER (DEN),MANDI JASSIM (BHR),LISTKIEWICZ MICHAL (POL),322,201,FRG,YUG
1990,1990-06-11 17:00,Group C,Luigi Ferraris,Genoa,Costa Rica,1,0,Scotland,,30867,0,0,LOUSTAU JUAN (ARG),MACIEL CARLOS (PAR),JACOME GUERRERO ELIAS V. (ECU),322,127,CRC,SCO
1990,1990-06-11 21:00,Group F,Sant Elia,Cagliari,England,1,1,"rn"">Republic of Ireland",,35238,1,0,SCHMIDHUBER ARON (GER),FREDRIKSSON ERIK (SWE),ROETHLISBERGER KURT (SUI),322,161,ENG,IRL
1990,1990-06-12 17:00,Group E,Marc Antonio Bentegodi,Verona,Belgium,2,0,Korea Republic,,32790,0,0,MAURO VINCENT (USA),SNODDY ALAN (NIR),COURTNEY GEORGE (ENG),322,57,BEL,KOR
1990,1990-06-12 21:00,Group F,Della Favorita,Palermo,Netherlands,1,1,Egypt,,33288,0,0,SORIANO ALADREN EMILIO (ESP),CODESAL MENDEZ EDGARDO (MEX),CARDELLINO DE SAN VICENTE JUAN (URU),322,151,NED,EGY
