model,accuracy,precision,recall,f1,roc_auc
random_forest,0.9387978142076503,0.6458333333333334,0.9489795918367347,0.768595041322314,0.9808657857267754
logistic_regression,0.940983606557377,0.671875,0.8775510204081632,0.7610619469026548,0.9767691654385133
